G0;G0;0;G0;G0
G0;G1;0;G1;G1
G0;G2;0;G2;G2
G0;G3;0;G3;G3
G0;G4;0;G4;G4
G0;G5;0;G5;G5
G0;G6;0;G6;G6
G0;G7;0;G7;G7
G1;G0;0;G1;G1
G1;G1;G0;0;G0
G1;G2;0;G4;G4
G1;G3;0;G5;G5
G1;G4;G2;0;G2
G1;G5;G3;0;G3
G1;G6;0;G7;G7
G1;G7;G6;0;G6
G2;G0;0;G2;G2
G2;G1;0;-G4;-G4
G2;G2;G0;0;G0
G2;G3;0;G6;G6
G2;G4;-G1;0;-G1
G2;G5;0;-G7;-G7
G2;G6;G3;0;G3
G2;G7;-G5;0;-G5
G3;G0;0;G3;G3
G3;G1;0;-G5;-G5
G3;G2;0;-G6;-G6
G3;G3;G0;0;G0
G3;G4;0;G7;G7
G3;G5;-G1;0;-G1
G3;G6;-G2;0;-G2
G3;G7;G4;0;G4
G4;G0;0;G4;G4
G4;G1;-G2;0;-G2
G4;G2;G1;0;G1
G4;G3;0;G7;G7
G4;G4;-G0;0;-G0
G4;G5;0;0;-G6
G4;G6;0;0;G5
G4;G7;-G3;0;-G3
G5;G0;0;G5;G5
G5;G1;-G3;0;-G3
G5;G2;0;-G7;-G7
G5;G3;G1;0;G1
G5;G4;0;0;G6
G5;G5;-G0;0;-G0
G5;G6;0;0;-G4
G5;G7;G2;0;G2
G6;G0;0;G6;G6
G6;G1;0;G7;G7
G6;G2;-G3;0;-G3
G6;G3;G2;0;G2
G6;G4;0;0;-G5
G6;G5;0;0;G4
G6;G6;-G0;0;-G0
G6;G7;-G1;0;-G1
G7;G0;0;G7;G7
G7;G1;G6;0;G6
G7;G2;-G5;0;-G5
G7;G3;G4;0;G4
G7;G4;-G3;0;-G3
G7;G5;G2;0;G2
G7;G6;-G1;0;-G1
G7;G7;-G0;0;-G0
