E0;E0;;E0;E0
E0;E1;;E1;E1
E0;E2;;E2;E2
E0;E3;;E3;E3
E0;E4;;E4;E4
E0;E5;;E5;E5
E0;E6;;E6;E6
E0;E7;;E7;E7
E0;E8;;E8;E8
E0;E9;;E9;E9
E0;E10;;E10;E10
E0;E11;;E11;E11
E0;E12;;E12;E12
E0;E13;;E13;E13
E0;E14;;E14;E14
E0;E15;;E15;E15
E0;E16;;E16;E16
E0;E17;;E17;E17
E0;E18;;E18;E18
E0;E19;;E19;E19
E0;E20;;E20;E20
E0;E21;;E21;E21
E0;E22;;E22;E22
E0;E23;;E23;E23
E0;E24;;E24;E24
E0;E25;;E25;E25
E0;E26;;E26;E26
E0;E27;;E27;E27
E0;E28;;E28;E28
E0;E29;;E29;E29
E0;E30;;E30;E30
E0;E31;;E31;E31
E0;E32;;E32;E32
E0;E33;;E33;E33
E0;E34;;E34;E34
E0;E35;;E35;E35
E0;E36;;E36;E36
E0;E37;;E37;E37
E0;E38;;E38;E38
E0;E39;;E39;E39
E0;E40;;E40;E40
E0;E41;;E41;E41
E0;E42;;E42;E42
E0;E43;;E43;E43
E0;E44;;E44;E44
E0;E45;;E45;E45
E0;E46;;E46;E46
E0;E47;;E47;E47
E0;E48;;E48;E48
E0;E49;;E49;E49
E0;E50;;E50;E50
E0;E51;;E51;E51
E0;E52;;E52;E52
E0;E53;;E53;E53
E0;E54;;E54;E54
E0;E55;;E55;E55
E0;E56;;E56;E56
E0;E57;;E57;E57
E0;E58;;E58;E58
E0;E59;;E59;E59
E0;E60;;E60;E60
E0;E61;;E61;E61
E0;E62;;E62;E62
E0;E63;;E63;E63
E1;E0;;E1;E1
E1;E1;E0;;E0
E1;E2;;E7;E7
E1;E3;;E8;E8
E1;E4;;E9;E9
E1;E5;;E10;E10
E1;E6;;E11;E11
E1;E7;E2;;E2
E1;E8;E3;;E3
E1;E9;E4;;E4
E1;E10;E5;;E5
E1;E11;E6;;E6
E1;E12;;E22;E22
E1;E13;;E23;E23
E1;E14;;E24;E24
E1;E15;;E25;E25
E1;E16;;E26;E26
E1;E17;;E27;E27
E1;E18;;E28;E28
E1;E19;;E29;E29
E1;E20;;E30;E30
E1;E21;;E31;E31
E1;E22;E12;;E12
E1;E23;E13;;E13
E1;E24;E14;;E14
E1;E25;E15;;E15
E1;E26;E16;;E16
E1;E27;E17;;E17
E1;E28;E18;;E18
E1;E29;E19;;E19
E1;E30;E20;;E20
E1;E31;E21;;E21
E1;E32;;E42;E42
E1;E33;;E43;E43
E1;E34;;E44;E44
E1;E35;;E45;E45
